timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/04/28 19:59:37.592, 143.64 W, 90, 1612 MHz, 7301 MHz
2026/04/28 19:59:38.592, 142.31 W, 88, 1837 MHz, 7301 MHz
2026/04/28 19:59:39.592, 139.07 W, 88, 1785 MHz, 7301 MHz
2026/04/28 19:59:40.592, 140.30 W, 90, 1605 MHz, 7301 MHz
2026/04/28 19:59:41.592, 148.10 W, 89, 1792 MHz, 7301 MHz
2026/04/28 19:59:42.592, 140.36 W, 88, 1665 MHz, 7301 MHz
2026/04/28 19:59:43.592, 140.09 W, 88, 1747 MHz, 7301 MHz
2026/04/28 19:59:44.592, 140.02 W, 89, 1642 MHz, 7301 MHz
2026/04/28 19:59:45.592, 144.15 W, 89, 1762 MHz, 7301 MHz
2026/04/28 19:59:46.592, 137.07 W, 88, 1687 MHz, 7301 MHz
2026/04/28 19:59:47.592, 140.33 W, 88, 1770 MHz, 7301 MHz
2026/04/28 19:59:48.592, 144.72 W, 90, 1777 MHz, 7301 MHz
2026/04/28 19:59:49.593, 145.37 W, 89, 1845 MHz, 7301 MHz
2026/04/28 19:59:50.593, 140.64 W, 88, 1732 MHz, 7301 MHz
2026/04/28 19:59:51.593, 139.49 W, 88, 1710 MHz, 7301 MHz
2026/04/28 19:59:52.593, 140.01 W, 89, 1627 MHz, 7301 MHz
2026/04/28 19:59:53.593, 145.98 W, 91, 1680 MHz, 7301 MHz
2026/04/28 19:59:54.593, 137.76 W, 88, 1770 MHz, 7301 MHz
2026/04/28 19:59:55.593, 141.48 W, 88, 1605 MHz, 7301 MHz
2026/04/28 19:59:56.593, 137.13 W, 88, 1635 MHz, 7301 MHz
2026/04/28 19:59:57.593, 143.03 W, 90, 1702 MHz, 7301 MHz
2026/04/28 19:59:58.593, 146.08 W, 89, 1837 MHz, 7301 MHz
2026/04/28 19:59:59.593, 140.71 W, 88, 1725 MHz, 7301 MHz
2026/04/28 20:00:00.594, 140.16 W, 88, 1642 MHz, 7301 MHz
2026/04/28 20:00:01.594, 141.38 W, 89, 1672 MHz, 7301 MHz
2026/04/28 20:00:02.594, 144.46 W, 90, 1680 MHz, 7301 MHz
2026/04/28 20:00:03.595, 143.24 W, 89, 1785 MHz, 7301 MHz
2026/04/28 20:00:04.596, 140.73 W, 88, 1702 MHz, 7301 MHz
2026/04/28 20:00:05.597, 138.64 W, 87, 1620 MHz, 7301 MHz
2026/04/28 20:00:06.598, 141.80 W, 88, 1605 MHz, 7301 MHz
2026/04/28 20:00:07.599, 141.00 W, 89, 1687 MHz, 7301 MHz
2026/04/28 20:00:08.600, 143.15 W, 90, 1657 MHz, 7301 MHz
2026/04/28 20:00:09.601, 141.81 W, 88, 1785 MHz, 7301 MHz
2026/04/28 20:00:10.603, 137.73 W, 88, 1657 MHz, 7301 MHz
