timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/04/28 20:40:23.703, 92.95 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:40:24.703, 95.49 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:40:25.703, 94.84 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:40:26.703, 94.20 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:40:27.703, 92.72 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:40:28.703, 92.37 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:40:29.703, 92.44 W, 69, 1552 MHz, 7301 MHz
2026/04/28 20:40:30.703, 92.19 W, 69, 1552 MHz, 7301 MHz
2026/04/28 20:40:31.704, 93.88 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:40:32.704, 94.20 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:40:33.704, 96.25 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:40:34.704, 94.75 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:40:35.704, 93.72 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:40:36.704, 92.60 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:40:37.704, 91.57 W, 69, 1552 MHz, 7301 MHz
2026/04/28 20:40:38.704, 92.92 W, 69, 1552 MHz, 7301 MHz
2026/04/28 20:40:39.705, 92.85 W, 69, 1552 MHz, 7301 MHz
2026/04/28 20:40:40.705, 92.72 W, 69, 1552 MHz, 7301 MHz
